CardID,Folder,Spec,Manufacturer,Sample_Name,Pattern,Standard,Replicate,Extension
temp_specs,spec0_0003,SPECTRUM0010,saintgobain,stg20211,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0011,saintgobain,stg20211,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0012,saintgobain,stg20211,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0013,arnold,60,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0014,arnold,60,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0015,arnold,60,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0016,arnold,60,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0017,arnold,60,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0018,arnold,60,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0019,arnold,61,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0020,arnold,61,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0021,arnold,61,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0022,arnold,61,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0023,arnold,61,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0024,arnold,61,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0025,arnold,59,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0026,arnold,59,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0027,arnold,59,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0028,arnold,59,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0029,arnold,59,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0030,arnold,59,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0031,guardian,60UV,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0032,guardian,60UV,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0033,guardian,60UV,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0034,guardian,60UV,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0035,guardian,60UV,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0036,guardian,60UV,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0037,guardian,part1,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0038,guardian,part1,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0039,guardian,part1,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0040,guardian,part1,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0041,guardian,part1,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0042,guardian,part1,off,trans,3,jaz
